Laikotarpis;Rodiklis;Administracinė teritorija;Amžius (0–14, 65 ir vyresni);Matavimo vienetai;Reikšmė
2012;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Skuodo r. sav.;0–14;asmenys;22
2013;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Skuodo r. sav.;0–14;asmenys;21
2014;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Skuodo r. sav.;0–14;asmenys;21
2015;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Skuodo r. sav.;0–14;asmenys;20
2016;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Skuodo r. sav.;0–14;asmenys;21
2017;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Skuodo r. sav.;0–14;asmenys;21
2018;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Skuodo r. sav.;0–14;asmenys;22
2019;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Skuodo r. sav.;0–14;asmenys;22
2001;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šilutės r. sav.;0–14;asmenys;38
2002;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šilutės r. sav.;0–14;asmenys;36
2003;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šilutės r. sav.;0–14;asmenys;34
2004;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šilutės r. sav.;0–14;asmenys;33
2005;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šilutės r. sav.;0–14;asmenys;32
2006;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šilutės r. sav.;0–14;asmenys;30
2007;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šilutės r. sav.;0–14;asmenys;29
2008;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šilutės r. sav.;0–14;asmenys;27
2009;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šilutės r. sav.;0–14;asmenys;26
2010;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šilutės r. sav.;0–14;asmenys;26
2011;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šilutės r. sav.;0–14;asmenys;25
2012;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šilutės r. sav.;0–14;asmenys;24
2013;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šilutės r. sav.;0–14;asmenys;24
2014;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šilutės r. sav.;0–14;asmenys;23
2015;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šilutės r. sav.;0–14;asmenys;23
2016;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šilutės r. sav.;0–14;asmenys;23
2017;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šilutės r. sav.;0–14;asmenys;23
2018;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šilutės r. sav.;0–14;asmenys;24
2019;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šilutės r. sav.;0–14;asmenys;24
2001;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kalvarijos sav.;0–14;asmenys;39
2002;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kalvarijos sav.;0–14;asmenys;37
2003;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kalvarijos sav.;0–14;asmenys;36
2004;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kalvarijos sav.;0–14;asmenys;35
2005;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kalvarijos sav.;0–14;asmenys;34
2006;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kalvarijos sav.;0–14;asmenys;32
2007;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kalvarijos sav.;0–14;asmenys;31
2008;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kalvarijos sav.;0–14;asmenys;30
2009;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kalvarijos sav.;0–14;asmenys;28
2010;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kalvarijos sav.;0–14;asmenys;27
2011;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kalvarijos sav.;0–14;asmenys;27
2012;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kalvarijos sav.;0–14;asmenys;27
2013;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kalvarijos sav.;0–14;asmenys;27
2014;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kalvarijos sav.;0–14;asmenys;26
2015;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kalvarijos sav.;0–14;asmenys;26
2016;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kalvarijos sav.;0–14;asmenys;26
2017;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kalvarijos sav.;0–14;asmenys;26
2018;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kalvarijos sav.;0–14;asmenys;26
2019;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kalvarijos sav.;0–14;asmenys;25
2001;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kazlų Rūdos sav.;0–14;asmenys;34
2002;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kazlų Rūdos sav.;0–14;asmenys;33
2003;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kazlų Rūdos sav.;0–14;asmenys;31
2004;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kazlų Rūdos sav.;0–14;asmenys;31
2005;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kazlų Rūdos sav.;0–14;asmenys;30
2006;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kazlų Rūdos sav.;0–14;asmenys;29
2007;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kazlų Rūdos sav.;0–14;asmenys;28
2008;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kazlų Rūdos sav.;0–14;asmenys;26
2009;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kazlų Rūdos sav.;0–14;asmenys;25
2010;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kazlų Rūdos sav.;0–14;asmenys;24
2011;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kazlų Rūdos sav.;0–14;asmenys;24
2012;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kazlų Rūdos sav.;0–14;asmenys;25
2013;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kazlų Rūdos sav.;0–14;asmenys;24
2014;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kazlų Rūdos sav.;0–14;asmenys;24
2015;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kazlų Rūdos sav.;0–14;asmenys;24
2016;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kazlų Rūdos sav.;0–14;asmenys;24
2017;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kazlų Rūdos sav.;0–14;asmenys;25
2018;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kazlų Rūdos sav.;0–14;asmenys;25
2019;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kazlų Rūdos sav.;0–14;asmenys;24
2001;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės sav.;0–14;asmenys;33
2002;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės sav.;0–14;asmenys;31
2003;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės sav.;0–14;asmenys;30
2004;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės sav.;0–14;asmenys;29
2005;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės sav.;0–14;asmenys;28
2006;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės sav.;0–14;asmenys;27
2007;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės sav.;0–14;asmenys;26
2008;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės sav.;0–14;asmenys;25
2009;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės sav.;0–14;asmenys;24
2010;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės sav.;0–14;asmenys;23
2011;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės sav.;0–14;asmenys;23
2012;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės sav.;0–14;asmenys;23
2013;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės sav.;0–14;asmenys;22
2014;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės sav.;0–14;asmenys;22
2015;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės sav.;0–14;asmenys;22
2016;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės sav.;0–14;asmenys;22
2017;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės sav.;0–14;asmenys;22
2018;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės sav.;0–14;asmenys;23
2019;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės sav.;0–14;asmenys;22
2001;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės r. sav.;0–14;asmenys;
2002;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės r. sav.;0–14;asmenys;
2003;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės r. sav.;0–14;asmenys;
2004;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės r. sav.;0–14;asmenys;
2005;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės r. sav.;0–14;asmenys;
2006;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės r. sav.;0–14;asmenys;
2007;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės r. sav.;0–14;asmenys;
2008;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės r. sav.;0–14;asmenys;
2009;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės r. sav.;0–14;asmenys;
2010;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės r. sav.;0–14;asmenys;
2011;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės r. sav.;0–14;asmenys;
2012;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės r. sav.;0–14;asmenys;
2013;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės r. sav.;0–14;asmenys;
2014;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės r. sav.;0–14;asmenys;
2015;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės r. sav.;0–14;asmenys;
2016;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės r. sav.;0–14;asmenys;
2017;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės r. sav.;0–14;asmenys;
2018;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės r. sav.;0–14;asmenys;
2019;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės r. sav.;0–14;asmenys;
2001;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šakių r. sav.;0–14;asmenys;36
2002;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šakių r. sav.;0–14;asmenys;35
2003;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šakių r. sav.;0–14;asmenys;34
2004;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šakių r. sav.;0–14;asmenys;33
2005;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šakių r. sav.;0–14;asmenys;32
2006;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šakių r. sav.;0–14;asmenys;30
2007;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šakių r. sav.;0–14;asmenys;29
2008;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šakių r. sav.;0–14;asmenys;28
2009;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šakių r. sav.;0–14;asmenys;27
2010;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šakių r. sav.;0–14;asmenys;26
2011;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šakių r. sav.;0–14;asmenys;24
2012;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šakių r. sav.;0–14;asmenys;24
2013;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šakių r. sav.;0–14;asmenys;23
2014;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šakių r. sav.;0–14;asmenys;23
2015;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šakių r. sav.;0–14;asmenys;22
2016;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šakių r. sav.;0–14;asmenys;22
2017;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šakių r. sav.;0–14;asmenys;22
2018;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šakių r. sav.;0–14;asmenys;22
2019;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šakių r. sav.;0–14;asmenys;22
2001;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilkaviškio r. sav.;0–14;asmenys;36
2002;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilkaviškio r. sav.;0–14;asmenys;35
2003;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilkaviškio r. sav.;0–14;asmenys;33
2004;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilkaviškio r. sav.;0–14;asmenys;32
2005;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilkaviškio r. sav.;0–14;asmenys;31
2006;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilkaviškio r. sav.;0–14;asmenys;30
2007;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilkaviškio r. sav.;0–14;asmenys;29
2008;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilkaviškio r. sav.;0–14;asmenys;28
2009;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilkaviškio r. sav.;0–14;asmenys;27
2010;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilkaviškio r. sav.;0–14;asmenys;27
2011;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilkaviškio r. sav.;0–14;asmenys;25
2012;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilkaviškio r. sav.;0–14;asmenys;24
2013;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilkaviškio r. sav.;0–14;asmenys;24
2014;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilkaviškio r. sav.;0–14;asmenys;23
2015;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilkaviškio r. sav.;0–14;asmenys;22
2016;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilkaviškio r. sav.;0–14;asmenys;22
2017;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilkaviškio r. sav.;0–14;asmenys;22
2018;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilkaviškio r. sav.;0–14;asmenys;22
2019;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilkaviškio r. sav.;0–14;asmenys;22
2001;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Biržų r. sav.;0–14;asmenys;33
2002;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Biržų r. sav.;0–14;asmenys;32
2003;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Biržų r. sav.;0–14;asmenys;31
2004;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Biržų r. sav.;0–14;asmenys;30
2005;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Biržų r. sav.;0–14;asmenys;29
2006;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Biržų r. sav.;0–14;asmenys;28
2007;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Biržų r. sav.;0–14;asmenys;27
2008;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Biržų r. sav.;0–14;asmenys;26
2009;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Biržų r. sav.;0–14;asmenys;25
2010;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Biržų r. sav.;0–14;asmenys;24
2011;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Biržų r. sav.;0–14;asmenys;22
2012;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Biržų r. sav.;0–14;asmenys;22
2013;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Biržų r. sav.;0–14;asmenys;21
2014;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Biržų r. sav.;0–14;asmenys;21
2015;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Biržų r. sav.;0–14;asmenys;20
2016;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Biržų r. sav.;0–14;asmenys;20
2017;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Biržų r. sav.;0–14;asmenys;20
2018;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Biržų r. sav.;0–14;asmenys;20
2019;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Biržų r. sav.;0–14;asmenys;20
2001;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kupiškio r. sav.;0–14;asmenys;34
2002;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kupiškio r. sav.;0–14;asmenys;33
2003;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kupiškio r. sav.;0–14;asmenys;31
2004;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kupiškio r. sav.;0–14;asmenys;30
2005;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kupiškio r. sav.;0–14;asmenys;29
2006;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kupiškio r. sav.;0–14;asmenys;28
2007;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kupiškio r. sav.;0–14;asmenys;27
2008;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kupiškio r. sav.;0–14;asmenys;25
2009;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kupiškio r. sav.;0–14;asmenys;24
2010;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kupiškio r. sav.;0–14;asmenys;23
2011;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kupiškio r. sav.;0–14;asmenys;22
2012;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kupiškio r. sav.;0–14;asmenys;21
2013;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kupiškio r. sav.;0–14;asmenys;21
2014;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kupiškio r. sav.;0–14;asmenys;21
2015;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kupiškio r. sav.;0–14;asmenys;20
2016;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kupiškio r. sav.;0–14;asmenys;20
2017;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kupiškio r. sav.;0–14;asmenys;20
2018;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kupiškio r. sav.;0–14;asmenys;20
2019;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kupiškio r. sav.;0–14;asmenys;20
2001;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio m. sav.;0–14;asmenys;28
2002;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio m. sav.;0–14;asmenys;27
2003;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio m. sav.;0–14;asmenys;26
2004;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio m. sav.;0–14;asmenys;25
2005;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio m. sav.;0–14;asmenys;24
2006;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio m. sav.;0–14;asmenys;23
2007;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio m. sav.;0–14;asmenys;22
2008;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio m. sav.;0–14;asmenys;21
2009;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio m. sav.;0–14;asmenys;20
2010;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio m. sav.;0–14;asmenys;20
2011;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio m. sav.;0–14;asmenys;21
2012;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio m. sav.;0–14;asmenys;21
2013;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio m. sav.;0–14;asmenys;21
2014;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio m. sav.;0–14;asmenys;21
2015;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio m. sav.;0–14;asmenys;21
2016;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio m. sav.;0–14;asmenys;21
2017;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio m. sav.;0–14;asmenys;21
2018;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio m. sav.;0–14;asmenys;22
2019;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio m. sav.;0–14;asmenys;22
2001;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio r. sav.;0–14;asmenys;34
2002;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio r. sav.;0–14;asmenys;33
2003;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio r. sav.;0–14;asmenys;32
2004;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio r. sav.;0–14;asmenys;31
2005;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio r. sav.;0–14;asmenys;29
2006;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio r. sav.;0–14;asmenys;28
2007;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio r. sav.;0–14;asmenys;27
2008;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio r. sav.;0–14;asmenys;26
2009;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio r. sav.;0–14;asmenys;25
2010;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio r. sav.;0–14;asmenys;24
2011;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio r. sav.;0–14;asmenys;23
2012;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio r. sav.;0–14;asmenys;22
2013;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio r. sav.;0–14;asmenys;22
2014;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio r. sav.;0–14;asmenys;21
2015;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio r. sav.;0–14;asmenys;21
2016;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio r. sav.;0–14;asmenys;21
2017;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio r. sav.;0–14;asmenys;21
2018;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio r. sav.;0–14;asmenys;21
2019;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio r. sav.;0–14;asmenys;21
2001;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Pasvalio r. sav.;0–14;asmenys;36
2002;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Pasvalio r. sav.;0–14;asmenys;35
2003;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Pasvalio r. sav.;0–14;asmenys;33
2004;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Pasvalio r. sav.;0–14;asmenys;32
2005;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Pasvalio r. sav.;0–14;asmenys;31
2006;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Pasvalio r. sav.;0–14;asmenys;30
2007;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Pasvalio r. sav.;0–14;asmenys;29
2008;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Pasvalio r. sav.;0–14;asmenys;27
2009;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Pasvalio r. sav.;0–14;asmenys;26
2010;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Pasvalio r. sav.;0–14;asmenys;25
2011;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Pasvalio r. sav.;0–14;asmenys;24
2012;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Pasvalio r. sav.;0–14;asmenys;23
2013;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Pasvalio r. sav.;0–14;asmenys;22
2014;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Pasvalio r. sav.;0–14;asmenys;22
2015;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Pasvalio r. sav.;0–14;asmenys;21
2016;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Pasvalio r. sav.;0–14;asmenys;21
2017;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Pasvalio r. sav.;0–14;asmenys;21
2018;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Pasvalio r. sav.;0–14;asmenys;22
2019;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Pasvalio r. sav.;0–14;asmenys;22
2001;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Rokiškio r. sav.;0–14;asmenys;31
2002;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Rokiškio r. sav.;0–14;asmenys;30
2003;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Rokiškio r. sav.;0–14;asmenys;29
2004;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Rokiškio r. sav.;0–14;asmenys;27
2005;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Rokiškio r. sav.;0–14;asmenys;26
2006;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Rokiškio r. sav.;0–14;asmenys;25
2007;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Rokiškio r. sav.;0–14;asmenys;24
2008;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Rokiškio r. sav.;0–14;asmenys;23
2009;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Rokiškio r. sav.;0–14;asmenys;22
2010;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Rokiškio r. sav.;0–14;asmenys;22
2011;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Rokiškio r. sav.;0–14;asmenys;21
2012;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Rokiškio r. sav.;0–14;asmenys;20
2013;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Rokiškio r. sav.;0–14;asmenys;19
2014;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Rokiškio r. sav.;0–14;asmenys;19
2015;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Rokiškio r. sav.;0–14;asmenys;19
2016;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Rokiškio r. sav.;0–14;asmenys;19
2017;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Rokiškio r. sav.;0–14;asmenys;19
2018;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Rokiškio r. sav.;0–14;asmenys;19
2019;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Rokiškio r. sav.;0–14;asmenys;19
