Laikotarpis;Rodiklis;Administracinė teritorija;Amžius;Lytis;Matavimo vienetai;Reikšmė
2016;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Širvintų r. sav.;0–14;Vyrai ir moterys;proc.;12.9
2017;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Širvintų r. sav.;0–14;Vyrai ir moterys;proc.;13.1
2018;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Širvintų r. sav.;0–14;Vyrai ir moterys;proc.;13.3
2019;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Širvintų r. sav.;0–14;Vyrai ir moterys;proc.;13.3
2001;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Širvintų r. sav.;0–14;Vyrai;proc.;10.5
2002;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Širvintų r. sav.;0–14;Vyrai;proc.;10.0
2003;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Širvintų r. sav.;0–14;Vyrai;proc.;9.5
2004;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Širvintų r. sav.;0–14;Vyrai;proc.;9.0
2005;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Širvintų r. sav.;0–14;Vyrai;proc.;8.8
2006;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Širvintų r. sav.;0–14;Vyrai;proc.;8.4
2007;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Širvintų r. sav.;0–14;Vyrai;proc.;8.1
2008;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Širvintų r. sav.;0–14;Vyrai;proc.;7.7
2009;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Širvintų r. sav.;0–14;Vyrai;proc.;7.6
2010;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Širvintų r. sav.;0–14;Vyrai;proc.;7.4
2011;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Širvintų r. sav.;0–14;Vyrai;proc.;7.1
2012;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Širvintų r. sav.;0–14;Vyrai;proc.;6.9
2013;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Širvintų r. sav.;0–14;Vyrai;proc.;6.8
2014;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Širvintų r. sav.;0–14;Vyrai;proc.;6.5
2015;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Širvintų r. sav.;0–14;Vyrai;proc.;6.7
2016;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Širvintų r. sav.;0–14;Vyrai;proc.;6.5
2017;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Širvintų r. sav.;0–14;Vyrai;proc.;6.5
2018;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Širvintų r. sav.;0–14;Vyrai;proc.;6.5
2019;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Širvintų r. sav.;0–14;Vyrai;proc.;6.6
2001;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Širvintų r. sav.;0–14;Moterys;proc.;9.7
2002;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Širvintų r. sav.;0–14;Moterys;proc.;9.2
2003;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Širvintų r. sav.;0–14;Moterys;proc.;8.7
2004;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Širvintų r. sav.;0–14;Moterys;proc.;8.2
2005;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Širvintų r. sav.;0–14;Moterys;proc.;7.8
2006;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Širvintų r. sav.;0–14;Moterys;proc.;7.4
2007;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Širvintų r. sav.;0–14;Moterys;proc.;7.1
2008;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Širvintų r. sav.;0–14;Moterys;proc.;6.9
2009;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Širvintų r. sav.;0–14;Moterys;proc.;6.7
2010;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Širvintų r. sav.;0–14;Moterys;proc.;6.6
2011;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Širvintų r. sav.;0–14;Moterys;proc.;6.7
2012;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Širvintų r. sav.;0–14;Moterys;proc.;6.6
2013;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Širvintų r. sav.;0–14;Moterys;proc.;6.5
2014;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Širvintų r. sav.;0–14;Moterys;proc.;6.4
2015;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Širvintų r. sav.;0–14;Moterys;proc.;6.3
2016;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Širvintų r. sav.;0–14;Moterys;proc.;6.4
2017;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Širvintų r. sav.;0–14;Moterys;proc.;6.6
2018;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Širvintų r. sav.;0–14;Moterys;proc.;6.8
2019;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Širvintų r. sav.;0–14;Moterys;proc.;6.7
2001;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Švenčionių r. sav.;0–14;Vyrai ir moterys;proc.;18.3
2002;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Švenčionių r. sav.;0–14;Vyrai ir moterys;proc.;17.5
2003;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Švenčionių r. sav.;0–14;Vyrai ir moterys;proc.;16.7
2004;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Švenčionių r. sav.;0–14;Vyrai ir moterys;proc.;15.9
2005;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Švenčionių r. sav.;0–14;Vyrai ir moterys;proc.;15.5
2006;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Švenčionių r. sav.;0–14;Vyrai ir moterys;proc.;15.1
2007;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Švenčionių r. sav.;0–14;Vyrai ir moterys;proc.;14.7
2008;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Švenčionių r. sav.;0–14;Vyrai ir moterys;proc.;14.3
2009;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Švenčionių r. sav.;0–14;Vyrai ir moterys;proc.;14.0
2010;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Švenčionių r. sav.;0–14;Vyrai ir moterys;proc.;13.8
2011;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Švenčionių r. sav.;0–14;Vyrai ir moterys;proc.;13.2
2012;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Švenčionių r. sav.;0–14;Vyrai ir moterys;proc.;13.1
2013;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Švenčionių r. sav.;0–14;Vyrai ir moterys;proc.;12.8
2014;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Švenčionių r. sav.;0–14;Vyrai ir moterys;proc.;12.7
2015;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Švenčionių r. sav.;0–14;Vyrai ir moterys;proc.;12.6
2016;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Švenčionių r. sav.;0–14;Vyrai ir moterys;proc.;12.6
2017;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Švenčionių r. sav.;0–14;Vyrai ir moterys;proc.;12.5
2018;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Švenčionių r. sav.;0–14;Vyrai ir moterys;proc.;12.5
2019;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Švenčionių r. sav.;0–14;Vyrai ir moterys;proc.;12.5
2001;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Švenčionių r. sav.;0–14;Vyrai;proc.;9.2
2002;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Švenčionių r. sav.;0–14;Vyrai;proc.;8.9
2003;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Švenčionių r. sav.;0–14;Vyrai;proc.;8.4
2004;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Švenčionių r. sav.;0–14;Vyrai;proc.;8.0
2005;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Švenčionių r. sav.;0–14;Vyrai;proc.;7.8
2006;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Švenčionių r. sav.;0–14;Vyrai;proc.;7.6
2007;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Švenčionių r. sav.;0–14;Vyrai;proc.;7.4
2008;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Švenčionių r. sav.;0–14;Vyrai;proc.;7.3
2009;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Švenčionių r. sav.;0–14;Vyrai;proc.;7.3
2010;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Švenčionių r. sav.;0–14;Vyrai;proc.;7.2
2011;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Švenčionių r. sav.;0–14;Vyrai;proc.;6.9
2012;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Švenčionių r. sav.;0–14;Vyrai;proc.;6.9
2013;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Švenčionių r. sav.;0–14;Vyrai;proc.;6.8
2014;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Švenčionių r. sav.;0–14;Vyrai;proc.;6.7
2015;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Švenčionių r. sav.;0–14;Vyrai;proc.;6.7
2016;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Švenčionių r. sav.;0–14;Vyrai;proc.;6.7
2017;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Švenčionių r. sav.;0–14;Vyrai;proc.;6.6
2018;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Švenčionių r. sav.;0–14;Vyrai;proc.;6.6
2019;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Švenčionių r. sav.;0–14;Vyrai;proc.;6.6
2001;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Švenčionių r. sav.;0–14;Moterys;proc.;9.1
2002;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Švenčionių r. sav.;0–14;Moterys;proc.;8.6
2003;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Švenčionių r. sav.;0–14;Moterys;proc.;8.3
2004;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Švenčionių r. sav.;0–14;Moterys;proc.;7.9
2005;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Švenčionių r. sav.;0–14;Moterys;proc.;7.7
2006;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Švenčionių r. sav.;0–14;Moterys;proc.;7.5
2007;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Švenčionių r. sav.;0–14;Moterys;proc.;7.3
2008;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Švenčionių r. sav.;0–14;Moterys;proc.;7.0
2009;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Švenčionių r. sav.;0–14;Moterys;proc.;6.7
2010;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Švenčionių r. sav.;0–14;Moterys;proc.;6.6
2011;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Švenčionių r. sav.;0–14;Moterys;proc.;6.3
2012;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Švenčionių r. sav.;0–14;Moterys;proc.;6.2
2013;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Švenčionių r. sav.;0–14;Moterys;proc.;6.0
2014;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Švenčionių r. sav.;0–14;Moterys;proc.;6.0
2015;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Švenčionių r. sav.;0–14;Moterys;proc.;5.9
2016;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Švenčionių r. sav.;0–14;Moterys;proc.;5.9
2017;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Švenčionių r. sav.;0–14;Moterys;proc.;5.9
2018;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Švenčionių r. sav.;0–14;Moterys;proc.;5.9
2019;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Švenčionių r. sav.;0–14;Moterys;proc.;5.9
2001;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Trakų r. sav.;0–14;Vyrai ir moterys;proc.;20.1
2002;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Trakų r. sav.;0–14;Vyrai ir moterys;proc.;19.4
2003;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Trakų r. sav.;0–14;Vyrai ir moterys;proc.;18.6
2004;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Trakų r. sav.;0–14;Vyrai ir moterys;proc.;18.0
2005;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Trakų r. sav.;0–14;Vyrai ir moterys;proc.;17.4
2006;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Trakų r. sav.;0–14;Vyrai ir moterys;proc.;16.9
2007;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Trakų r. sav.;0–14;Vyrai ir moterys;proc.;16.3
2008;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Trakų r. sav.;0–14;Vyrai ir moterys;proc.;15.9
2009;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Trakų r. sav.;0–14;Vyrai ir moterys;proc.;15.4
2010;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Trakų r. sav.;0–14;Vyrai ir moterys;proc.;15.3
2011;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Trakų r. sav.;0–14;Vyrai ir moterys;proc.;15.4
2012;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Trakų r. sav.;0–14;Vyrai ir moterys;proc.;15.2
2013;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Trakų r. sav.;0–14;Vyrai ir moterys;proc.;15.0
2014;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Trakų r. sav.;0–14;Vyrai ir moterys;proc.;15.0
2015;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Trakų r. sav.;0–14;Vyrai ir moterys;proc.;14.9
2016;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Trakų r. sav.;0–14;Vyrai ir moterys;proc.;14.9
2017;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Trakų r. sav.;0–14;Vyrai ir moterys;proc.;15.0
2018;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Trakų r. sav.;0–14;Vyrai ir moterys;proc.;15.2
2019;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Trakų r. sav.;0–14;Vyrai ir moterys;proc.;15.3
2001;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Trakų r. sav.;0–14;Vyrai;proc.;10.3
2002;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Trakų r. sav.;0–14;Vyrai;proc.;10.0
2003;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Trakų r. sav.;0–14;Vyrai;proc.;9.6
2004;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Trakų r. sav.;0–14;Vyrai;proc.;9.2
2005;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Trakų r. sav.;0–14;Vyrai;proc.;8.9
2006;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Trakų r. sav.;0–14;Vyrai;proc.;8.6
2007;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Trakų r. sav.;0–14;Vyrai;proc.;8.3
2008;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Trakų r. sav.;0–14;Vyrai;proc.;8.1
2009;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Trakų r. sav.;0–14;Vyrai;proc.;8.0
2010;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Trakų r. sav.;0–14;Vyrai;proc.;8.0
2011;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Trakų r. sav.;0–14;Vyrai;proc.;8.0
2012;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Trakų r. sav.;0–14;Vyrai;proc.;7.9
2013;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Trakų r. sav.;0–14;Vyrai;proc.;8.0
2014;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Trakų r. sav.;0–14;Vyrai;proc.;8.0
2015;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Trakų r. sav.;0–14;Vyrai;proc.;7.9
2016;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Trakų r. sav.;0–14;Vyrai;proc.;8.0
2017;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Trakų r. sav.;0–14;Vyrai;proc.;8.1
2018;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Trakų r. sav.;0–14;Vyrai;proc.;8.2
2019;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Trakų r. sav.;0–14;Vyrai;proc.;8.3
2001;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Trakų r. sav.;0–14;Moterys;proc.;9.8
2002;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Trakų r. sav.;0–14;Moterys;proc.;9.4
2003;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Trakų r. sav.;0–14;Moterys;proc.;9.0
2004;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Trakų r. sav.;0–14;Moterys;proc.;8.8
2005;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Trakų r. sav.;0–14;Moterys;proc.;8.5
2006;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Trakų r. sav.;0–14;Moterys;proc.;8.3
2007;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Trakų r. sav.;0–14;Moterys;proc.;8.0
2008;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Trakų r. sav.;0–14;Moterys;proc.;7.8
2009;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Trakų r. sav.;0–14;Moterys;proc.;7.4
2010;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Trakų r. sav.;0–14;Moterys;proc.;7.3
2011;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Trakų r. sav.;0–14;Moterys;proc.;7.4
2012;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Trakų r. sav.;0–14;Moterys;proc.;7.3
2013;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Trakų r. sav.;0–14;Moterys;proc.;7.0
2014;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Trakų r. sav.;0–14;Moterys;proc.;7.0
2015;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Trakų r. sav.;0–14;Moterys;proc.;7.0
2016;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Trakų r. sav.;0–14;Moterys;proc.;6.9
2017;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Trakų r. sav.;0–14;Moterys;proc.;6.9
2018;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Trakų r. sav.;0–14;Moterys;proc.;7.0
2019;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Trakų r. sav.;0–14;Moterys;proc.;7.0
2001;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Ukmergės r. sav.;0–14;Vyrai ir moterys;proc.;19.0
2002;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Ukmergės r. sav.;0–14;Vyrai ir moterys;proc.;18.1
2003;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Ukmergės r. sav.;0–14;Vyrai ir moterys;proc.;17.3
2004;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Ukmergės r. sav.;0–14;Vyrai ir moterys;proc.;16.8
2005;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Ukmergės r. sav.;0–14;Vyrai ir moterys;proc.;16.2
2006;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Ukmergės r. sav.;0–14;Vyrai ir moterys;proc.;15.6
2007;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Ukmergės r. sav.;0–14;Vyrai ir moterys;proc.;14.9
2008;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Ukmergės r. sav.;0–14;Vyrai ir moterys;proc.;14.5
2009;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Ukmergės r. sav.;0–14;Vyrai ir moterys;proc.;14.1
2010;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Ukmergės r. sav.;0–14;Vyrai ir moterys;proc.;13.8
2011;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Ukmergės r. sav.;0–14;Vyrai ir moterys;proc.;13.3
2012;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Ukmergės r. sav.;0–14;Vyrai ir moterys;proc.;13.1
2013;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Ukmergės r. sav.;0–14;Vyrai ir moterys;proc.;12.8
2014;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Ukmergės r. sav.;0–14;Vyrai ir moterys;proc.;12.6
2015;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Ukmergės r. sav.;0–14;Vyrai ir moterys;proc.;12.6
2016;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Ukmergės r. sav.;0–14;Vyrai ir moterys;proc.;12.6
2017;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Ukmergės r. sav.;0–14;Vyrai ir moterys;proc.;12.7
2018;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Ukmergės r. sav.;0–14;Vyrai ir moterys;proc.;12.9
2019;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Ukmergės r. sav.;0–14;Vyrai ir moterys;proc.;13.0
2001;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Ukmergės r. sav.;0–14;Vyrai;proc.;9.8
2002;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Ukmergės r. sav.;0–14;Vyrai;proc.;9.3
2003;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Ukmergės r. sav.;0–14;Vyrai;proc.;8.9
2004;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Ukmergės r. sav.;0–14;Vyrai;proc.;8.7
2005;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Ukmergės r. sav.;0–14;Vyrai;proc.;8.4
2006;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Ukmergės r. sav.;0–14;Vyrai;proc.;8.1
2007;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Ukmergės r. sav.;0–14;Vyrai;proc.;7.7
2008;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Ukmergės r. sav.;0–14;Vyrai;proc.;7.5
2009;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Ukmergės r. sav.;0–14;Vyrai;proc.;7.3
2010;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Ukmergės r. sav.;0–14;Vyrai;proc.;7.1
2011;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Ukmergės r. sav.;0–14;Vyrai;proc.;6.8
2012;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Ukmergės r. sav.;0–14;Vyrai;proc.;6.8
2013;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Ukmergės r. sav.;0–14;Vyrai;proc.;6.5
2014;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Ukmergės r. sav.;0–14;Vyrai;proc.;6.4
2015;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Ukmergės r. sav.;0–14;Vyrai;proc.;6.4
2016;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Ukmergės r. sav.;0–14;Vyrai;proc.;6.4
2017;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Ukmergės r. sav.;0–14;Vyrai;proc.;6.5
2018;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Ukmergės r. sav.;0–14;Vyrai;proc.;6.6
2019;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Ukmergės r. sav.;0–14;Vyrai;proc.;6.6
2001;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Ukmergės r. sav.;0–14;Moterys;proc.;9.2
2002;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Ukmergės r. sav.;0–14;Moterys;proc.;8.8
2003;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Ukmergės r. sav.;0–14;Moterys;proc.;8.4
2004;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Ukmergės r. sav.;0–14;Moterys;proc.;8.1
2005;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Ukmergės r. sav.;0–14;Moterys;proc.;7.8
2006;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Ukmergės r. sav.;0–14;Moterys;proc.;7.5
2007;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Ukmergės r. sav.;0–14;Moterys;proc.;7.2
2008;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Ukmergės r. sav.;0–14;Moterys;proc.;7.0
2009;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Ukmergės r. sav.;0–14;Moterys;proc.;6.8
2010;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Ukmergės r. sav.;0–14;Moterys;proc.;6.7
2011;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Ukmergės r. sav.;0–14;Moterys;proc.;6.5
2012;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Ukmergės r. sav.;0–14;Moterys;proc.;6.3
2013;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Ukmergės r. sav.;0–14;Moterys;proc.;6.3
2014;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Ukmergės r. sav.;0–14;Moterys;proc.;6.2
2015;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Ukmergės r. sav.;0–14;Moterys;proc.;6.2
2016;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Ukmergės r. sav.;0–14;Moterys;proc.;6.2
2017;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Ukmergės r. sav.;0–14;Moterys;proc.;6.2
2018;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Ukmergės r. sav.;0–14;Moterys;proc.;6.3
2019;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Ukmergės r. sav.;0–14;Moterys;proc.;6.4
2001;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus m. sav.;0–14;Vyrai ir moterys;proc.;17.0
2002;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus m. sav.;0–14;Vyrai ir moterys;proc.;16.3
2003;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus m. sav.;0–14;Vyrai ir moterys;proc.;15.7
2004;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus m. sav.;0–14;Vyrai ir moterys;proc.;15.1
2005;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus m. sav.;0–14;Vyrai ir moterys;proc.;14.7
2006;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus m. sav.;0–14;Vyrai ir moterys;proc.;14.4
2007;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus m. sav.;0–14;Vyrai ir moterys;proc.;14.2
2008;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus m. sav.;0–14;Vyrai ir moterys;proc.;14.0
2009;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Vilniaus m. sav.;0–14;Vyrai ir moterys;proc.;14.0
